session_id,player_id,source_label,t_end_s,raw_score,gated_score,change_detected,running_peak_score,running_high_count,running_change_count,running_verdict
C00281_E14,C00281,cheater,-4.03125,0.5242246487791399,0.5242246487791399,0,0.5242246487791399,0,0,Likely Legit
C00281_E14,C00281,cheater,-3.78125,0.4744160941001073,0.4744160941001073,0,0.5242246487791399,0,0,Likely Legit
C00281_E14,C00281,cheater,-3.53125,0.5465336342600787,0.5465336342600787,0,0.5465336342600787,0,0,Likely Legit
C00281_E14,C00281,cheater,-3.28125,0.34005492795495523,0.34005492795495523,0,0.5465336342600787,0,0,Likely Legit
C00281_E14,C00281,cheater,-3.03125,0.5109268508938578,0.5109268508938578,0,0.5465336342600787,0,0,Likely Legit
C00281_E14,C00281,cheater,-2.78125,0.717967556968035,0.717967556968035,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-2.53125,0.556021251751639,0.556021251751639,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-2.28125,0.3580880976422341,0.3580880976422341,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-2.03125,0.3208284199628535,0.3208284199628535,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-1.78125,0.325029365939694,0.325029365939694,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-1.53125,0.6093875789756455,0.6093875789756455,0,0.717967556968035,0,0,Likely Legit
C00281_E14,C00281,cheater,-1.28125,0.9110613829247841,0.9110613829247841,1,0.9110613829247841,1,1,Suspicious
C00281_E14,C00281,cheater,-1.03125,0.946418451657317,0.946418451657317,1,0.946418451657317,2,2,Suspicious
C00281_E14,C00281,cheater,-0.78125,0.8844280360842626,0.8844280360842626,1,0.946418451657317,3,3,Suspicious
C00281_E14,C00281,cheater,-0.53125,0.9257042195562687,0.9257042195562687,1,0.946418451657317,4,4,Suspicious
C00281_E14,C00281,cheater,-0.28125,0.6736842981160418,0.6736842981160418,1,0.946418451657317,4,5,Suspicious
C00281_E14,C00281,cheater,-0.03125,0.5351230434105664,0.5351230434105664,1,0.946418451657317,4,6,Suspicious
C00281_E14,C00281,cheater,0.21875,0.9152414018854171,0.9152414018854171,1,0.946418451657317,5,7,Suspicious
C00281_E14,C00281,cheater,0.46875,0.46372987853354347,0.46372987853354347,1,0.946418451657317,5,8,Suspicious
C00281_E14,C00281,cheater,0.71875,0.4455140171934647,0.4455140171934647,1,0.946418451657317,5,9,Suspicious
C00281_E14,C00281,cheater,0.96875,0.4481482252622621,0.4481482252622621,1,0.946418451657317,5,10,Suspicious
