session_id,player_id,source_label,t_end_s,raw_score,gated_score,change_detected,running_peak_score,running_high_count,running_change_count,running_verdict
C00103_E06,C00103,cheater,-4.03125,0.771780760631672,0.632860223717971,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-3.78125,0.2885632189917862,0.2366218395732647,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-3.53125,0.2355946578533545,0.19318761943975069,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-3.28125,0.2727571759529106,0.22366088428138667,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-3.03125,0.2860938063698472,0.2345969212232747,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-2.78125,0.7438250164684674,0.6099365135041432,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-2.53125,0.24739791504676092,0.20286629033834394,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-2.28125,0.6789701152032227,0.5567554944666426,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-2.03125,0.24448382204331054,0.20047673407551464,0,0.632860223717971,0,0,Likely Legit
C00103_E06,C00103,cheater,-1.78125,0.8304521619365425,0.6809707727879648,0,0.6809707727879648,0,0,Likely Legit
C00103_E06,C00103,cheater,-1.53125,0.37684873848888895,0.3090159655608889,0,0.6809707727879648,0,0,Likely Legit
C00103_E06,C00103,cheater,-1.28125,0.816747625377774,0.6697330528097747,0,0.6809707727879648,0,0,Likely Legit
C00103_E06,C00103,cheater,-1.03125,0.33282889879598304,0.2729196970127061,0,0.6809707727879648,0,0,Likely Legit
C00103_E06,C00103,cheater,-0.78125,0.7967100780128785,0.7967100780128785,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,-0.53125,0.2617112472568893,0.2617112472568893,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,-0.28125,0.21472540844690438,0.21472540844690438,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,-0.03125,0.18512585858898406,0.18512585858898406,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,0.21875,0.1902490618020993,0.1902490618020993,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,0.46875,0.3503177529947833,0.3503177529947833,0,0.7967100780128785,1,0,Likely Legit
C00103_E06,C00103,cheater,0.71875,0.8983239866050642,0.8983239866050642,1,0.8983239866050642,2,1,Suspicious
C00103_E06,C00103,cheater,0.96875,0.6945185934964796,0.6945185934964796,1,0.8983239866050642,2,2,Suspicious
